Category,Context,Original,GB,US
Main,src/input/mpegts/linuxdvb/linuxdvb_satconf.c:754,Altitude (meters),Altitude (metres),Altitude (meters)
Main,src/bouquet.c:1221,Auto-Map to channels,Auto-map to channels,Auto-Map to channels
Main,src/epg.c:1852,Children's / Youth programs,Children's / Youth programmes,Children's / Youth programs
Main,src/config.c:2711,"Differentiated Services Code Point / Type of Service: Set the service class Tvheadend sends with each packet. Depending on the option selected this tells your router the prority in which to give packets sent from Tvheadend, this option does not usually need changing. See https://en.wikipedia.org/wiki/Differentiated_services for more information. ","Differentiated Services Code Point / Type of Service: Set the service class Tvheadend sends with each packet. Depending on the option selected, this tells your router the prority to assign to packets sent from Tvheadend. This option does not usually need changing. See https://en.wikipedia.org/wiki/Differentiated_services for more information. ","Differentiated Services Code Point / Type of Service: Set the service class Tvheadend sends with each packet. Depending on the option selected, this tells your router what priority to assign to packets sent from Tvheadend. This option does not usually need changing. See https://en.wikipedia.org/wiki/Differentiated_services for more information. "
Main,src/access.c:1871,"Do not send any stream specific information to the HTSP client like signal strength, input source etc.","Do not send any stream specific information to the HTSP client like signal strength, input source etc.","Do not send any stream-specific information to the HTSP client, like signal strength, input source, etc."
Main,src/tvhlog.c:153,Electronic Program Guide,Electronic Programme Guide,Electronic Program Guide
Main,src/input/mpegts/mpegts_input.c:281,Enable over-the-air program guide (EPG) scanning on this input device.,Enable over-the-air programme guide (EPG) scanning on this input device.,Enable over-the-air program guide (EPG) scanning on this input device.
Main,src/epg.c:1855,Entertainment programs for 10 to 16,Entertainment programmes for 10 to 16,Entertainment programs for 10 to 16
Main,src/epg.c:1854,Entertainment programs for 6 to 14,Entertainment programmes for 6 to 14,Entertainment programs for 6 to 14
Main,src/input/mpegts/mpegts_service.c:269,Force usage of entered CA ID on this service.,Force usage of entered CA ID on this service.,Force usage of the entered CA ID on this service.
Main,src/access.c:1504,Gray,Grey,Gray
Main,src/profile.c:1352,MPEG-TS Pass-thru/built-in,MPEG-TS Pass-through/built-in,MPEG-TS Pass-thru/built-in
Main,src/dvr/dvr_db.c:4996,Name (or date) of program the entry is a rerun of.,Name (or date) of programme the entry is a rerun of.,Name (or date) of program the entry is a rerun of.
Main,src/input/mpegts/linuxdvb/linuxdvb_ca.c:648,PIN inquiry match string,PIN enquiry match string,PIN inquiry match string
Main,src/tvhlog.c:133,Pass-thru muxer,Pass-through muxer,Pass-thru muxer
Main,src/tvhlog.c:123,Passthrough Muxer SI Tables,Passthrough Muxer SI Tables,Passthru Muxer SI Tables
Main,src/input/mpegts/mpegts_mux_dvb.c:485,Polarization,Polarisation,Polarization
Main,src/epg.c:1853,Pre-school children's programs,Pre-school children's programmes,Pre-school children's programs
Main,src/dvr/dvr_db.c:4693,Program synopsis (display only).,Programme synopsis (display only).,Program synopsis (display only).
Main,src/dvr/dvr_db.c:4685,Program synopsis.,Programme synopsis.,Program synopsis.
Main,src/epg.c:1856,School programs,School programmes,School programs
Main,src/dvr/dvr_db.c:4659,Subtitle of the program (if any) (display only).,Subtitle of the programme (if any) (display only).,Subtitle of the program (if any) (display only).
Main,src/dvr/dvr_db.c:4651,Subtitle of the program (if any).,Subtitle of the programme (if any).,Subtitle of the program (if any).
Main,src/dvr/dvr_autorec.c:1212,"The content type (Movie/Drama, Sports, etc.) to be used to filter matching events/programs.","The content type (Movie/Drama, Sports, etc.) to be used to filter matching events/programmes.","The content type (Movie/Drama, Sports, etc.) to be used to filter matching events/programs."
Main,src/dvr/dvr_autorec.c:1304,"The maximal duration of a matching event - in other words, only match programmes that are no longer than this duration.","The maximal duration of a matching event - in other words, only match programmes that are no longer than this duration.","The maximal duration of a matching event - in other words, only match programs that are no longer than this duration."
Main,src/dvr/dvr_autorec.c:1293,"The minimal duration of a matching event - in other words, only match programs that are no shorter than this duration.","The minimal duration of a matching event - in other words, only match programmes that are no shorter than this duration.","The minimal duration of a matching event - in other words, only match programs that are no shorter than this duration."
Main,src/channels.c:433,The name given to/of the channel (This is how it'll appear in your EPG.),The name given to/of the channel (This is how it'll appear in your EPG.),The name given to/of the channel (This is how it'll appear in your EPG).
